        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-03-16 17:13:23 ,         975.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        0   ,                        577   ,                       77   ,                  11.0   ,         0.725   ,            0.675   ,               37.9   ,                  5758   ,
2020-03-16 17:13:24 ,        1099.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          51.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        1   ,                        593   ,                       83   ,                  13.0   ,         1.200   ,            0.675   ,               38.3   ,                  5790   ,
2020-03-16 17:13:25 ,        1170.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          7   ,                        1   ,                        593   ,                       83   ,                  15.0   ,         0.725   ,            0.675   ,               38.4   ,                  5797   ,
2020-03-16 17:13:26 ,        1236.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        1   ,                        594   ,                       83   ,                  16.0   ,         0.725   ,            0.675   ,               38.4   ,                  5792   ,
2020-03-16 17:13:27 ,         901.0   ,            474.0   ,         105.0   ,         102.0   ,               50.0   ,                          51.0   ,                  52.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        0   ,                        614   ,                       84   ,                  16.0   ,         1.200   ,            0.675   ,               38.8   ,                  5819   ,
2020-03-16 17:13:28 ,         893.0   ,            218.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        0   ,                        644   ,                       94   ,                  10.0   ,         0.725   ,            0.675   ,               37.6   ,                  5847   ,
2020-03-16 17:13:29 ,         795.0   ,            226.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  52.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   9.0   ,         0.725   ,            0.675   ,               36.9   ,                  5839   ,
2020-03-16 17:13:30 ,         792.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   9.0   ,         0.725   ,            0.675   ,               36.0   ,                  5832   ,
2020-03-16 17:13:31 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.3   ,                  5829   ,
2020-03-16 17:13:32 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5835   ,
